OBJECTID,County,Type,School.Name,City
408,Spartanburg,Public,James Byrnes Freshman Academy,Duncan
409,Spartanburg,Public,Sugar Ridge Elementary,Boiling Springs
410,Spartanburg,Public,Dorman Freshman Campus,Roebuck
411,Spartanburg,Public,McCracken Middle,Spartanburg
412,Spartanburg,Public,Rainbow Lake Middle,Chesnee
413,Spartanburg,Public,Chapman High,Inman
414,Spartanburg,Public,Boiling Springs Middle,Inman
415,Spartanburg,Public,High Point Academy,Spartanburg
416,Spartanburg,Public,Spartanburg High,Spartanburg
417,Spartanburg,Public,James F. Byrnes High,Duncan
418,Spartanburg,Public,Boiling Springs High,Boiling Springs
419,Spartanburg,Public,Dorman High,Roebuck
420,Union,Private,Union Christian Day School,Union
421,Union,Public,Foster Park Elementary,Union
422,Union,Public,Monarch Elementary,Union
423,Union,Public,Buffalo Elementary,Buffalo
424,Union,Public,Jonesville Elementary/Middle,Jonesville
425,Union,Public,Sims Middle,Union
426,Union,Public,Union County High,Union
